stt,question,ground_truth_answer,type,pure_llm_answer,retrieved_articles,num_retrieved
I.1,"Thửa đất"" theo LĐĐ 2013 được giải thích như thế nào?","Là phần diện tích đất được giới hạn bởi ranh giới xác định trên thực địa hoặc được mô tả trên hồ sơ. **(K1, Đ3, LĐĐ 2013\)**",Định nghĩa,"Thửa đất là phần diện tích đất được giới hạn bởi ranh giới xác định trên thực địa hoặc được mô tả trên hồ sơ.
",,0
I.2,"So với LĐĐ 2013, LĐĐ 2024 định nghĩa ""Đất chuyên trồng lúa nước"" khác nhau ra sao?","LĐĐ 2013 không định nghĩa trực tiếp. LĐĐ 2024 định nghĩa là đất trồng từ 02 vụ lúa nước trở lên. **(K1, Đ182, LĐĐ 2024\)**",So sánh,"LĐĐ 2024 không định nghĩa ""Đất chuyên trồng lúa nước"". Thay vào đó, sử dụng khái niệm ""Đất trồng lúa"".
",,0
I.3,Đất lâm nghiệp được phân loại trong nhóm đất nào theo LĐĐ 2024?,"Thuộc **Nhóm đất nông nghiệp**. **(K2c, Đ9, LĐĐ 2024\)**",Phân loại,"Đất nông nghiệp.
",,0
I.4,"Chủ thể ""Hộ gia đình sử dụng đất"" còn tồn tại trong LĐĐ 2024 không?","**Không.** LĐĐ 2024 đã bỏ chủ thể ""Hộ gia đình"", quyền và nghĩa vụ được xác định cho các cá nhân thành viên. **(So sánh Đ5 LĐĐ 2013 & Đ4 LĐĐ 2024\)**",So sánh,"Có.
",,0
I.5,"Chuyển quyền sử dụng đất"" theo LĐĐ 2024 bao gồm những hình thức nào?","Gồm: chuyển đổi, chuyển nhượng, thừa kế, tặng cho, và góp vốn bằng quyền sử dụng đất. **(K12, Đ3, LĐĐ 2024\)**",Định nghĩa,"Chuyển quyền sử dụng đất theo Luật Đất đai 2024 bao gồm:

*   Chuyển nhượng
*   Cho thuê
*   Cho thuê lại
*   Góp vốn bằng quyền sử dụng đất
*   Tặng cho
*   Thế chấp, bảo lãnh
",,0
I.6,Đất sử dụng cho khu công nghệ cao thuộc nhóm đất nào theo LĐĐ 2024?,"Thuộc **Nhóm đất phi nông nghiệp** (loại đất sản xuất, kinh doanh phi nông nghiệp). **(K3đ, Đ9, LĐĐ 2024\)**",Phân loại,"Đất phi nông nghiệp.
",,0
I.7,"LĐĐ 2024 quy định về ""Sử dụng đất đa mục đích"" như thế nào so với LĐĐ 2013?","LĐĐ 2024 có quy định cụ thể tại **Điều 218**, cho phép kết hợp các loại đất (ví dụ: nông nghiệp kết hợp thương mại). LĐĐ 2013 không có quy định này.",So sánh,"LĐĐ 2024 quy định chi tiết và cụ thể hơn về điều kiện, nguyên tắc, thẩm quyền cho phép sử dụng đất đa mục đích so với LĐĐ 2013.
",,0
I.8,"Giá đất"" theo định nghĩa của LĐĐ 2024 là gì?","Là giá trị của quyền sử dụng đất tính bằng tiền trên một đơn vị diện tích đất. **(K19, Đ3, LĐĐ 2024\)**",Định nghĩa,"Giá đất theo định nghĩa của Luật Đất đai 2024 là giá trị bằng tiền của quyền sử dụng đất tính trên một đơn vị diện tích đất.
",,0
I.9,"Khái niệm ""Vùng phụ cận"" được giải thích như thế nào trong LĐĐ 2024?","Là vùng đất tiếp giáp với các điểm, tuyến kết nối giao thông có tiềm năng phát triển theo quy hoạch. **(K49, Đ3, LĐĐ 2024\)**",Định nghĩa,"Luật Đất đai 2024 không định nghĩa khái niệm ""vùng phụ cận"".
",,0
I.10,"Hủy hoại đất"" theo định nghĩa của LĐĐ 2013 là gì?","Là hành vi làm biến dạng địa hình, suy giảm chất lượng đất, gây ô nhiễm làm mất/giảm khả năng sử dụng đất. **(K25, Đ3, LĐĐ 2013\)**",Định nghĩa,"Hủy hoại đất là hành vi làm biến đổi xấu đi các tính chất vật lý, hóa học, sinh học của đất, làm giảm khả năng sử dụng đất theo mục đích đã được xác định.
",,0
